company_name,company_code,trading_time,type,listing_board,Name
Nam Lee Metal,G0I,20220310_091600,stocks,MAINBOARD,G0I
Nanofilm,MZH,20220310_091600,stocks,MAINBOARD,MZH
Natural Cool,5IF,20220310_091600,stocks,CATALIST,5IF
NauticAWT,42D,20220310_091600,stocks,CATALIST,42D
NeraTel,N01,20220310_091600,stocks,MAINBOARD,N01
Net Pacific Fin,5QY,20220310_091600,stocks,CATALIST,5QY
NetEase 5xLongSG230615,DNSW,20220310_091600,dlcertificates,MAINBOARD,0
NetEase 5xLongSG230615A,DNAW,20220310_091600,dlcertificates,MAINBOARD,0
NetEase 5xShortSG221115,PUOW,20220310_091600,dlcertificates,MAINBOARD,0
NetEase 5xShortSG230907,DNCW,20220310_091600,dlcertificates,MAINBOARD,0
NetLink NBN Tr,CJLU,20220310_091600,businesstrusts,MAINBOARD,CJLU
New Silkroutes,BMT,20220310_091600,stocks,MAINBOARD,BMT
New Toyo,N08,20220310_091600,stocks,MAINBOARD,N08
New Wave,5FX,20220310_091600,stocks,CATALIST,5FX
Nico Steel^,5GF,20220310_091600,stocks,MAINBOARD,5GF
Nikko AM STI ETF,G3B,20220310_091600,etfs,MAINBOARD,G3B
NikkoAM SGD IGBond ETF,MBH,20220310_091600,etfs,MAINBOARD,MBH
NIKKOAM-ICBCSG CNB CNY,ZHY,20220310_091600,etfs,MAINBOARD,ZHY
NIKKOAM-ICBCSG CNB S$,ZHS,20220310_091600,etfs,MAINBOARD,ZHS
NIKKOAM-ICBCSG CNB US$,ZHD,20220310_091600,etfs,MAINBOARD,0
NikkoAM-STC Asia REIT,CFA,20220310_091600,etfs,MAINBOARD,CFA
NikkoAM-STC A_REIT US$,COI,20220310_091600,etfs,MAINBOARD,COI
NikkoAM-STC CN EV S$,EVS,20220310_091600,etfs,MAINBOARD,EVS
NikkoAM-STC CN EV US$,EVD,20220310_091600,etfs,MAINBOARD,0
Nippecraft,N32,20220310_091600,stocks,CATALIST,N32
NKY 24000MBePW220311,YWJW,20220310_091600,structuredwarrants,MAINBOARD,0
NKY 25000MBePW220610,9LUW,20220310_091600,structuredwarrants,MAINBOARD,0
NKY 26000MBePW220311,IMNW,20220310_091600,structuredwarrants,MAINBOARD,0
NKY 27000MBeCW220311,ELMW,20220310_091600,structuredwarrants,MAINBOARD,0
NKY 27000MBePW220610,NDQW,20220310_091600,structuredwarrants,MAINBOARD,0
NKY 28000MBePW220311,SZQW,20220310_091600,structuredwarrants,MAINBOARD,0
NKY 29000MBeCW220311,OAOW,20220310_091600,structuredwarrants,MAINBOARD,0
NKY 29000MBePW220610,MALW,20220310_091600,structuredwarrants,MAINBOARD,0
NKY 30000MBeCW220610,PVYW,20220310_091600,structuredwarrants,MAINBOARD,0
NKY 31000MBeCW220311,PGLW,20220310_091600,structuredwarrants,MAINBOARD,0
NKY 32000MBeCW220610,YYFW,20220310_091600,structuredwarrants,MAINBOARD,0
NKY 34000MBeCW220610,HOQW,20220310_091600,structuredwarrants,MAINBOARD,0
No Signboard,1G6,20220310_091600,stocks,CATALIST,1G6
Noble,CGP,20220310_091600,stocks,MAINBOARD,0
Noel Gifts Intl,543,20220310_091600,stocks,MAINBOARD,543
Nomura Yen1k,N33,20220310_091600,stocks,MAINBOARD,N33
Nongfu 5xLongSG220316,DWQW,20220310_091600,dlcertificates,MAINBOARD,0
Nordic,MR7,20220310_091600,stocks,MAINBOARD,MR7
Novo Tellus SPAC,NTA,20220310_091600,stocks,MAINBOARD,NTA
Novo Tellus SPAC W291231,NTSW,20220310_091600,companywarrants,MAINBOARD,0
NovoTellusSPAC U,NTU,20220310_091600,stocks,MAINBOARD,NTU
NSL,N02,20220310_091600,stocks,MAINBOARD,N02
Ntegrator Intl,5HC,20220310_091600,stocks,CATALIST,5HC
NTES ADR US$+,K3MD,20220309_230034,adrs,GLOBAL_QUOTE,K3MD
NutryFarm,AZT,20220310_091600,stocks,MAINBOARD,AZT
NX13100H 230701,R1MS,20220309_230034,sgsbonds,GLOBAL_QUOTE,0
NX15100Z 250601,AFUS,20220310_021037,sgsbonds,GLOBAL_QUOTE,0
NX16100F 260601,BJHS,20220309_230034,sgsbonds,GLOBAL_QUOTE,0
NX18100A 280501,CMGS,20220310_013437,sgsbonds,GLOBAL_QUOTE,0
NX21100N 310701,RXYS,20220309_230034,sgsbonds,GLOBAL_QUOTE,0
NY07100X 220901,7PMS,20220309_230034,sgsbonds,GLOBAL_QUOTE,0
NY09100H 240901,3UJS,20220309_230034,sgsbonds,GLOBAL_QUOTE,0
NY14100E 290701,T8FS,20220309_230034,sgsbonds,GLOBAL_QUOTE,0
NZ07100S 270301,7QQS,20220309_230034,sgsbonds,GLOBAL_QUOTE,0
NZ10100F 300901,OL9S,20220309_230034,sgsbonds,GLOBAL_QUOTE,0
NZ13100V 330901,R1NS,20220309_230034,sgsbonds,GLOBAL_QUOTE,0
NZ16100X 360801,BJIS,20220309_230034,sgsbonds,GLOBAL_QUOTE,0
NZ19100S 390701,8YLS,20220310_020936,sgsbonds,GLOBAL_QUOTE,0
OCBC 5xLongSG221201,DMUW,20220310_091600,dlcertificates,MAINBOARD,0
OCBC 5xShortSG221201,DFJW,20220310_091600,dlcertificates,MAINBOARD,0
OCBC Bank,O39,20220310_091600,stocks,MAINBOARD,O39
OCBC Bk MB eCW220328,EPZW,20220310_091600,structuredwarrants,MAINBOARD,0
OCBC Bk MB eCW220627,YURW,20220310_091600,structuredwarrants,MAINBOARD,0
OCBC Bk MB eCW220630,P99W,20220310_091600,structuredwarrants,MAINBOARD,0
OCBC Bk MB eCW220701,TLMW,20220310_091600,structuredwarrants,MAINBOARD,0
OCBC Bk MB eCW221028,MCUW,20220310_091600,structuredwarrants,MAINBOARD,0
OCBC Bk MB ePW220331,Y1OW,20220310_091600,structuredwarrants,MAINBOARD,0
OCBC Bk MB ePW220615,WRDW,20220310_091600,structuredwarrants,MAINBOARD,0
OCBC Bk MB ePW220701,53JW,20220310_091600,structuredwarrants,MAINBOARD,0
Ocean Sky Intl,1B6,20220310_091600,stocks,CATALIST,1B6
Oceanus,579,20220310_091600,stocks,MAINBOARD,579
OEL,584,20220310_091600,stocks,CATALIST,584
Oiltek,HQU,20220310_091600,stocks,CATALIST,HQU
OIO,KUX,20220310_091600,stocks,CATALIST,KUX
OKH Global,S3N,20220310_091600,stocks,MAINBOARD,S3N
OKP,5CF,20220310_091600,stocks,MAINBOARD,5CF
Olam Group,VC2,20220310_091600,stocks,MAINBOARD,VC2
Olam Intl,O32,20220310_091600,stocks,MAINBOARD,O32
Old Chang Kee,5ML,20220310_091600,stocks,CATALIST,5ML
Olive Tree,1H2,20220310_091600,stocks,CATALIST,1H2
OneApex,5SY,20220310_091600,stocks,CATALIST,5SY
Ossia Intl^,O08,20220310_091600,stocks,MAINBOARD,O08
OTS Holdings,OTS,20220310_091600,stocks,CATALIST,OTS
OUE,LJ3,20220310_091600,stocks,MAINBOARD,LJ3
OUE Com Reit,TS0U,20220310_091600,reits,MAINBOARD,TS0U
OUE Lippo HC,5WA,20220310_091600,stocks,CATALIST,5WA
Ouhua Energy,AJ2,20220310_091600,stocks,MAINBOARD,AJ2
Overseas Edu,RQ1,20220310_091600,stocks,MAINBOARD,RQ1
Oxley,5UX,20220310_091600,stocks,MAINBOARD,5UX
OxPay Financial,TVV,20220310_091600,stocks,CATALIST,TVV
P5 Capital,5AI,20220310_091600,stocks,CATALIST,5AI
Pacific Andes,P11,20220310_091600,stocks,MAINBOARD,P11
Pacific Century,P15,20220310_091600,stocks,MAINBOARD,P15
Pacific Radiance,T8V,20220310_091600,stocks,MAINBOARD,T8V
Pacific Star Dev,1C5,20220310_091600,stocks,CATALIST,1C5
PAHLTH 5xLongSG220621,DCBW,20220310_091600,dlcertificates,MAINBOARD,0
PAHLTH 5xLongSG231012,DOPW,20220310_091600,dlcertificates,MAINBOARD,0
PAHLTH 5xShortSG220315,DOZW,20220310_091600,dlcertificates,MAINBOARD,0
Pan Asian,5EW,20220310_091600,stocks,CATALIST,5EW
Pan Hong,P36,20220310_091600,stocks,MAINBOARD,P36
Pan Ocean,AZY,20220310_091600,stocks,MAINBOARD,AZY
PanUnited,P52,20220310_091600,stocks,MAINBOARD,P52
Parkson Retail^,O9E,20220310_091600,stocks,MAINBOARD,O9E
ParkwayLife Reit,C2PU,20220310_091600,reits,MAINBOARD,C2PU
Pavillon,596,20220310_091600,stocks,MAINBOARD,596
PEC,IX2,20220310_091600,stocks,MAINBOARD,IX2
Pegasus SPAC,PGS,20220310_091600,stocks,MAINBOARD,PGS
Pegasus SPAC U,PGU,20220309_091600,stocks,MAINBOARD,PGU
Pegasus SPAC W291231,PGEW,20220310_091600,companywarrants,MAINBOARD,0
Penguin Intl,BTM,20220310_091600,stocks,MAINBOARD,BTM
PetroCH 5xLongSG221201,DZAW,20220310_091600,dlcertificates,MAINBOARD,0
PetroCH 5xLongSG230331,D00W,20220310_091600,dlcertificates,MAINBOARD,0
PetroCH 5xShortSG220328,DTPW,20220310_091600,dlcertificates,MAINBOARD,0
PetroCH 5xShortSG231012,DHZW,20220310_091600,dlcertificates,MAINBOARD,0
Pharmesis Intl,BFK,20220310_091600,stocks,MAINBOARD,BFK
PHIL AP DIV REIT S$D,BYJ,20220310_091600,etfs,MAINBOARD,BYJ
PHIL AP DIV REIT US$,BYI,20220310_091600,etfs,MAINBOARD,BYI
PHIL Long SiMSCI2X S$,LSS,20220310_091600,liprod,MAINBOARD,LSS
PHIL Long SiMSCI2X US$,LSU,20220310_091600,liprod,MAINBOARD,0
PHIL Short SiMSCI-1X S$,SSS,20220310_091600,liprod,MAINBOARD,SSS
PHIL Short SiMSCI-1X US$,SSU,20220310_091600,liprod,MAINBOARD,0
PHIL SING INC,OVQ,20220310_091600,etfs,MAINBOARD,OVQ
PHILLIP MM S$,MMS,20220310_091600,etfs,MAINBOARD,MMS
PHILLIP MM US$D,MMT,20220310_091600,etfs,MAINBOARD,0
PingAn 5xLongSG230705,DQPW,20220310_091600,dlcertificates,MAINBOARD,0
PingAn 5xShortSG230705,DHMW,20220310_091600,dlcertificates,MAINBOARD,0
PingAn MB eCW220705,MBUW,20220310_091600,structuredwarrants,MAINBOARD,0
PingAn MB ePW220705,IUUW,20220310_091600,structuredwarrants,MAINBOARD,0
PlatoCapital,YYN,20220310_091600,stocks,CATALIST,YYN
PNE Industries,BDA,20220310_091600,stocks,MAINBOARD,BDA
Polaris,5BI,20220310_091600,stocks,CATALIST,5BI
Pollux Prop,5AE,20220310_091600,stocks,CATALIST,5AE
Powermatic Data,BCY,20220310_091600,stocks,MAINBOARD,BCY
Prime US ReitUSD,OXMU,20220310_091600,reits,MAINBOARD,OXMU
PRINCIPAL ASEAN40 S$D,QS0,20220310_091600,etfs,MAINBOARD,QS0
PRINCIPAL ASEAN40 US$,M62,20220310_091600,etfs,MAINBOARD,M62
PRINCIPAL S&P AP DIV S$D,QR9,20220310_091600,etfs,MAINBOARD,QR9
PRINCIPAL S&P AP DIV US$,P5P,20220310_091600,etfs,MAINBOARD,P5P
Procurri,BVQ,20220310_091600,stocks,MAINBOARD,BVQ
Progen,583,20220310_091600,stocks,CATALIST,583
PropNex,OYY,20220310_091600,stocks,MAINBOARD,OYY
Prudential USD,K6S,20220310_091600,stocks,MAINBOARD,K6S
PTR ADR US$,K3OD,20220310_085950,adrs,GLOBAL_QUOTE,K3OD
Q&M Dental,QC7,20220310_091600,stocks,MAINBOARD,QC7
QAF,Q01,20220310_091600,stocks,MAINBOARD,Q01
Qian Hu,BCV,20220310_091600,stocks,MAINBOARD,BCV
QT Vascular,5I0,20220310_091600,stocks,CATALIST,5I0
Raffles Edu,NR7,20220310_091600,stocks,MAINBOARD,NR7
Raffles Infrastructure^,LUY,20220310_091600,stocks,MAINBOARD,LUY
Raffles Medical,BSL,20220310_091600,stocks,MAINBOARD,BSL
RE&S Hldg,1G1,20220310_091600,stocks,CATALIST,1G1
Reclaims Global,NEX,20220310_091600,stocks,CATALIST,NEX
Reenova Investment^,5EC,20220310_091600,stocks,MAINBOARD,5EC
Regal Intl,UV1,20220310_091600,stocks,MAINBOARD,UV1
Renaissance United,I11,20220310_091600,stocks,MAINBOARD,I11
Resources Gbl,QSD,20220310_091600,stocks,CATALIST,QSD
Resources Prima,5MM,20220310_091600,stocks,CATALIST,5MM
Revez,RCU,20220310_091600,stocks,CATALIST,RCU
Rex Intl,5WH,20220310_091600,stocks,MAINBOARD,5WH
RH PetroGas,T13,20220310_091600,stocks,MAINBOARD,T13
RHT HealthTrust,RF1U,20220310_091600,businesstrusts,MAINBOARD,0
RHT HealthTrust,RF1U,20220310_091600,reits,MAINBOARD,0
Rich Capital,5G4,20220310_091600,stocks,CATALIST,5G4
Riverstone,AP4,20220310_091600,stocks,MAINBOARD,AP4
Roxy-Pacific,E8Z,20220310_091600,stocks,MAINBOARD,E8Z
Ryobi Kiso,BDN,20220310_091600,stocks,MAINBOARD,0
S&P 3600MBePW220617,WNKW,20220310_091600,structuredwarrants,MAINBOARD,0
S&P 3800MBePW220318,98SW,20220310_091600,structuredwarrants,MAINBOARD,0
S&P 4000MBePW220617,XGHW,20220310_091600,structuredwarrants,MAINBOARD,0
S&P 4200MBePW220318,WSNW,20220310_091600,structuredwarrants,MAINBOARD,0
S&P 4800MBeCW220617,SDRW,20220310_091600,structuredwarrants,MAINBOARD,0
S&P 5000MBeCW220318,IENW,20220310_091600,structuredwarrants,MAINBOARD,0
S&P 5200MBeCW220617,XDUW,20220310_091600,structuredwarrants,MAINBOARD,0
S&P 5xLongSG250228,CUEW,20220310_091600,dlcertificates,MAINBOARD,0
S&P 5xLongSG250228A,CYAW,20220310_091600,dlcertificates,MAINBOARD,0
S&P 5xShortSG250228,CXBW,20220310_091600,dlcertificates,MAINBOARD,0
S&P 5xShortSG250228A,CZEW,20220310_091600,dlcertificates,MAINBOARD,0
Sabana Reit,M1GU,20220310_091600,reits,MAINBOARD,M1GU
Sakae,5DO,20220310_091600,stocks,MAINBOARD,5DO
Samko Timber,E6R,20220310_091600,stocks,MAINBOARD,E6R
SamuderaShipping,S56,20220310_091600,stocks,MAINBOARD,S56
Samurai 2K,Y8E,20220310_091600,stocks,CATALIST,Y8E
Sands 5xLongSG221013,DKTW,20220310_091600,dlcertificates,MAINBOARD,0
Sands 5xShortSG230202,DZEW,20220310_091600,dlcertificates,MAINBOARD,0
Sands MB eCW220705,8H5W,20220310_091600,structuredwarrants,MAINBOARD,0
Sands MB ePW220705,KUCW,20220310_091600,structuredwarrants,MAINBOARD,0
Sanli Env,1E3,20220310_091600,stocks,CATALIST,1E3
Santak,580,20220310_091600,stocks,CATALIST,580
Sapphire,BRD,20220310_091600,stocks,MAINBOARD,BRD
Sarine Tech,U77,20220310_091600,stocks,MAINBOARD,U77
Sasseur Reit,CRPU,20220310_091600,reits,MAINBOARD,CRPU
SATS,S58,20220310_091600,stocks,MAINBOARD,S58
SBI Offshore,5PL,20220310_091600,stocks,CATALIST,5PL
SBS Transit,S61,20220310_091600,stocks,MAINBOARD,S61
Second Chance,528,20220310_091600,stocks,MAINBOARD,528
Secura,43B,20220310_091600,stocks,CATALIST,43B
Sembcorp Ind,U96,20220310_091600,stocks,MAINBOARD,U96
Sembcorp Marine,S51,20220310_091600,stocks,MAINBOARD,S51
Sen Yue,5BS,20220310_091600,stocks,CATALIST,5BS
Serial System,S69,20220310_091600,stocks,MAINBOARD,S69
Seroja Inv,IW5,20220310_091600,stocks,MAINBOARD,IW5
SGX,S68,20220310_091600,stocks,MAINBOARD,S68
SGX 5xLongSG220630,DGRW,20220310_091600,dlcertificates,MAINBOARD,0
SGX 5xShortSG220630,DGSW,20220310_091600,dlcertificates,MAINBOARD,0
SGX 5xShortSG230420,DYKW,20220310_091600,dlcertificates,MAINBOARD,0
SGX MB eCW220704,NAHW,20220310_091600,structuredwarrants,MAINBOARD,0
SGX MB eCW221115,VSJW,20220310_091600,structuredwarrants,MAINBOARD,0
SGX MB ePW220704,RYKW,20220310_091600,structuredwarrants,MAINBOARD,0
Shanaya,SES,20220310_091600,stocks,CATALIST,SES
Shanghai Turbo,AWM,20220310_091600,stocks,MAINBOARD,AWM
Shangri-La HKD,S07,20220310_091600,stocks,MAINBOARD,S07
Shen Yao,A78,20220310_091600,stocks,CATALIST,A78
Sheng Siong,OV8,20220310_091600,stocks,MAINBOARD,OV8
Shenshan^,BKV,20220310_091600,stocks,MAINBOARD,BKV
SHI ADR US$,K3DD,20220310_085950,adrs,GLOBAL_QUOTE,K3DD
Shinvest,BJW,20220310_091600,stocks,MAINBOARD,BJW
SHKP 5xLongSG221208,DRGW,20220310_091600,dlcertificates,MAINBOARD,0
SHKP 5xShortSG221208,DPEW,20220310_091600,dlcertificates,MAINBOARD,0
Shopper360,1F0,20220310_091600,stocks,CATALIST,1F0
SHS,566,20220310_091600,stocks,MAINBOARD,566
SIA,C6L,20220310_091600,stocks,MAINBOARD,C6L
SIA 2020 MCBz300608#,WPOB,20220310_090946,retailbonds,MAINBOARD,0
SIA 2021 MCBz300608#,YQ7B,20220310_090946,retailbonds,MAINBOARD,0
SIA 3.03% 240328XB,SQ1B,20220310_090946,retailbonds,MAINBOARD,0
SIA 5xLongSG220630,DSIW,20220310_091600,dlcertificates,MAINBOARD,0
SIA 5xLongSG230420,DKKW,20220310_091600,dlcertificates,MAINBOARD,0
SIA 5xLongSG230713,DTGW,20220310_091600,dlcertificates,MAINBOARD,0
SIA 5xShortSG220328,DHJW,20220310_091600,dlcertificates,MAINBOARD,0
SIA 5xShortSG240306,DRBW,20220310_091600,dlcertificates,MAINBOARD,0
SIA Engineering,S59,20220310_091600,stocks,MAINBOARD,S59
SIA MB eCW220915,EUUW,20220310_091600,structuredwarrants,MAINBOARD,0
SIIC Environment,BHK,20220310_091600,stocks,MAINBOARD,BHK
Silkroad Nickel,STP,20220310_091600,stocks,CATALIST,STP
Silverlake Axis,5CP,20220310_091600,stocks,MAINBOARD,5CP
Sim Leisure,URR,20220310_091600,stocks,CATALIST,URR
SiMSCI 5xLongSG230420,CVPW,20220310_091600,dlcertificates,MAINBOARD,0
SiMSCI 5xShortSG230420,CYTW,20220310_091600,dlcertificates,MAINBOARD,0
SiMSCI 7xLongSG230306,CVBW,20220310_091600,dlcertificates,MAINBOARD,0
SiMSCI 7xLongSG230404,CZAW,20220310_091600,dlcertificates,MAINBOARD,0
SiMSCI 7xShortSG230712,CZSW,20220310_091600,dlcertificates,MAINBOARD,0
SiMSCI 7xShortSG231215,CZDW,20220310_091600,dlcertificates,MAINBOARD,0
Sin Heng Mach,BKA,20220310_091600,stocks,MAINBOARD,BKA
Sinarmas Land,A26,20220310_091600,stocks,MAINBOARD,A26
Sincap,5UN,20220310_091600,stocks,CATALIST,5UN
Sing Inv & Fin,S35,20220310_091600,stocks,MAINBOARD,S35
Sing Paincare,FRQ,20220310_091600,stocks,CATALIST,FRQ
Singapore O&G,1D8,20220310_091600,stocks,CATALIST,1D8
SingaporeKitchen,5WG,20220310_091600,stocks,CATALIST,5WG
SingaporeLandGrp,U06,20220310_091600,stocks,MAINBOARD,U06
SingHoldings,5IC,20220310_091600,stocks,MAINBOARD,5IC
SingIndexFund,S45U,20220310_030916,others,MAINBOARD,0
SingMedical,5OT,20220310_091600,stocks,CATALIST,5OT
SingPost,S08,20220310_091600,stocks,MAINBOARD,S08
SingShipping,S19,20220310_091600,stocks,MAINBOARD,S19
Singtel,Z74,20220310_091600,stocks,MAINBOARD,Z74
Singtel 10,Z77,20220310_091600,stocks,MAINBOARD,Z77
Singtel 5xLongSG231214,DBYW,20220310_091600,dlcertificates,MAINBOARD,0
Singtel 5xShortSG230713,DKMW,20220310_091600,dlcertificates,MAINBOARD,0
